Coll. No.,Family,Scientific Name,Common Name,Locality and habitat description,Habit,GPSN,GPSE,Altitude,Date,Collector,Identifier,Note
3092,薔薇科 (Rosaceae),Spiraea blumei G.Don,繡球繡線菊,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3094,葡萄科 (Vitaceae),Ampelopsis delavayana Planch. ex Franch.,三裂葉蛇葡萄,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3095,毛茛科 (Ranunculaceae),Clematis chinensis Osbeck,威靈仙,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3096,小二仙草科 (Holaragaceae),Haloragis chinensis (Lour.) Merr.,黃花小二仙草,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3097,百合科 (Liliaceae s. l.),Thysanotus chinensis Benth.,異蕊草,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3098,百合科 (Liliaceae s. l.),Thysanotus chinensis Benth.,異蕊草,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 田埔 (Tienpu)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3099,莎草科 (Cyperaceae),Fimbristylis polytrichoides (Retz.) Vahl,高雄飄拂草,"金門縣 (Kinmen county), 列嶼鄉 (Lieyu township), 青岐 (Chingchi)",,,,,29 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3100,百合科 (Liliaceae s. l.),Liriope spicata Lour.,麥門冬,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3101,蘭科 (Orchidaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3102,鱗毛蕨科 (Dryopteridaceae),Polystichum pseudodeltodon Tagawa,對生耳蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
