Scientific Name,Common Name,Family
Abelia chinensis,糯米條,Caprifoliaceae
Abelia chinensis var. ionandra (Hayata) Masam.,台灣糯米條,Caprifoliaceae
Abelia chowii G.Hoo,福建六道木,忍冬科 (Caprifoliaceae)
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,線片長筒蕨,Hymenophyllaceae
Abutilon alba,白莔麻,Malvaceae
Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,疏花莔麻,Malvaceae
Acacia confusa Merr.,相思樹,Fabaceae
Acalypha matudai Hayata,恆春鐵莧,Euphorbiaceae
Acanthus ebracteatus var. xiamenensis,廈門老鼠簕,Acanthaceae
Acer caudatifolium Hayata,川上氏楓,Aceraceae
Acer caudatum,長尾楓,Aceraceae
Acer oliverianum subsp. formosanum (Koidz.) A.E.Murray,台灣掌葉楓,Aceraceae
Acer palmatum var. pubescens H.L.Li,台灣掌葉槭,Aceraceae
Aconitum fukutomei Hayata,臺灣烏頭,毛茛科 (Ranunculaceae)
Acorus gramineus Sol. ex Aiton,石菖蒲,Acoraceae
Actinidia auguta,軟棗彌猴桃,Actinidiaceae
Actinidia callosa Lindl.,硬齒獼猴桃,Actinidiaceae
Actinidia discolor var. callosa,異色獼猴桃,Actinidiaceae
Actinidia setosa (H.L. Li) C.F. Liang & A.R. Ferguson,台灣羊桃,Actinidiaceae
Actinostemma tenerum Griff.,合子草,Cucurbitaceae
Acystopteris taiwaniana (Tagawa) Á.Löve & D.Löve,台灣亮毛蕨,Cystopteridaceae
Acystopteris tenuisecta (Blume) Tagawa,禾稈亮毛蕨,Cystopteridaceae
Adenophora,,Campanulaceae
Adenophora triphylla (Thunb.) A. DC.,輪葉沙蔘,桔梗科 (Campanulaceae)
Adenostemma lavenia,下田菊,Compositae
Adiantum formosanum Tagawa,月牙鐵線蕨,Adiantaceae
Adiantum malesianum J.Ghatak,馬來鐵線蕨,Adiantaceae
Adiantum melasianum,馬來鐵線蕨,Adiantaceae
Adiantum philippense L.,半月形鐵線蕨,Adiantaceae
Adiantum taiwanianum,臺灣高山鐵線蕨,Pteridaceae
Adiantum × meishanianum F.S.Hsu ex Yea C.Liu & W.L.Chiou,梅山口鐵線蕨,Adiantaceae
Adinandra sp.,,Pentaphylacaceae
Aeschynomene indica,合萌,Leguminosae
Ainsliaea,,Asteraceae
Ainsliaea frangrans,香鬼督郵,Compositae
Ainsliaea kawakamii,川上氏鬼督郵,Compositae
Ainsliaea latifolia subsp. henryi,臺灣鬼督郵,菊科 (Compositae)
Ainsliaea latifolia var. taiwanensis,台灣寬葉鬼督郵,Compositae
Ainsliaea macroclinidioides Hayata,阿里山鬼督郵,Compositae
Ainsliaea sp.,,Compositae
Ajuga sp.,,Labiatae
Alangium chinense (Lour.) Harms,華八角楓,Alangiaceae
Albizia kalkora (Roxb.) Prain,山合歡,Fabaceae
Albizia procera (Roxb.) Benth.,黃豆樹,Fabaceae
Aletris,台灣粉條兒菜,Melanthiaceae
Aletris formosana,臺灣粉條兒菜,Nartheciaceae
Aletris formosana (Hayata) Makino & Nemoto,台灣粉條兒菜,Nartheciaceae
Aletris glandulifera,腺毛粉條兒菜,Nartheciaceae
Aletris spicata,束心蘭,Nartheciaceae
Aletris spicata (Thunb.) Franch.,束心蘭,Liliaceae
Aleuritopteris argentea (S.G.Gmel.) Fée,長柄粉背蕨,Pteridaceae
Aleuritopteris henryi (Christ) Fay W.Li,亨氏擬旱蕨,Pteridaceae
Aleuritopteris krameri (Franch. & Sav.) Ching,粉背蕨,Pteridaceae
Allium macrostemon,山蒜,Amaryllidaceae
Alniphyllum pterospermum Matsum.,假赤楊,Styracaceae
Alnus,,Betulaceae
Alnus formosana (Burkill) Makino,台灣赤楊,Betulaceae
Alpinia pricei Hayata,普萊氏月桃,Zingiberaceae
Alpinia uraiensis Hayata,烏來月桃,Zingiberaceae
Alpinia × ilanensis S.C.Liu & J.C.Wang,宜蘭月桃,Zingiberaceae
Alsophila fenicis (Copel.) C.Chr.,蘭嶼筆筒樹,Cyatheaceae
Alternanthera bettzikiana,毛蓮子草,Amaranthaceae
Alternenthera sp.,,Amaranthaceae
Alysicarpus ovalifolius,圓葉煉莢豆,Leguminosae
Alyxia monticola C.B. Rob.,蘭嶼念珠藤,Apocynaceae
Amaranthus sp.,,Amaranthaceae
Ampelopsis delavayana Planch. ex Franch.,三裂葉蛇葡萄,葡萄科 (Vitaceae)
Ampelopsis japonica (Thunb.) Makino,白斂,Vitaceae
Amphicarpaea bracteata subsp. edgeworthii var. japonica (Oliv.) H.Ohashi,野毛扁豆,Fabaceae
Anagallis arvensis L.,海綠,Primulaceae
Anaphalis,能高藾蕭,Compositae
Anaphalis morrisonensis,玉山抱莖籟蕭,Compositae
Anaphalis nagasawae,永澤籟蕭,Compositae
Anaphalis nagasawae var. nagasawae,永澤籟蕭,Compositae
Anaphalis nagasawae var. niitakayamensis,玉山籟簫,Compositae
Androsace umbellata,地錢草,Primulaceae
Angelica sp.,,Umbelliferae
Angiopteris evecta (G.Forst.) Hoffm.,蘭嶼觀音座蓮,Marattiaceae
Anneslea fragrans var. lanceolata Hayata,細葉茶梨,Pentaphylacaceae
Anneslea lanceolata,細葉茶梨,Compositae
Anodendron affine (Hook. & Arn.) Druce,小錦蘭,Apocynaceae
Anodendron benthamianum Hemsl.,大錦蘭,Apocynaceae
Anogramma leptophylla (L.) Link,翠蕨,鳳尾蕨科 (Pteridaceae)
Anthriscus caucalis,卡可麗峨參,Umbelliferae
Antirrhinum orontium L.,小金魚草,Scorphulariaceae
Antrophyum obovatum Baker,倒卵葉車前蕨,Pteridaceae
Apluda mutica L.,水蔗草,Poaceae
Arabis alpina var. formosana Masam. ex S.F.Huang,臺灣筷子芥,Brassicaceae
